期号,红球,蓝球
2016035,"04,13,19,20,26,29",11
2016036,"03,04,07,09,20,22",3
2016037,"06,15,26,31,32,33",16
2016038,"03,12,13,22,28,29",3
2016039,"01,03,07,18,19,27",16
2016040,"03,13,19,20,23,26",3
2016041,"12,17,18,21,22,24",4
2016042,"07,14,17,23,26,31",9
2016043,"05,14,20,26,30,33",12
2016044,"01,03,10,12,18,30",1
2016045,"04,09,12,17,30,32",3
2016046,"07,20,25,26,27,30",14
2016047,"02,05,08,15,17,22",16
2016048,"03,08,13,14,15,30",4
2016049,"06,08,13,14,22,27",10
2016050,"09,12,24,28,29,30",2
2016051,"01,02,04,09,15,33",12
2016052,"01,06,13,19,24,28",16
2016053,"02,08,10,12,29,31",1
2016054,"06,11,16,19,28,32",4
2016055,"05,06,10,16,22,26",11
2016056,"03,04,08,11,16,18",14
2016057,"07,12,19,22,23,26",11
2016058,"03,05,18,20,24,32",11
2016059,"04,11,12,20,25,28",15
2016060,"04,05,22,26,29,32",8
2016061,"05,06,08,18,20,32",8
2016062,"12,13,15,18,19,21",9
2016063,"16,17,18,23,28,32",7
2016064,"03,12,14,17,19,26",3
2016065,"13,16,22,25,26,27",14
2016066,"03,07,13,18,19,20",5
2016067,"09,13,18,20,27,31",4
2016068,"08,19,23,28,31,32",1
2016069,"08,10,11,20,21,27",11
2016070,"03,06,11,18,23,29",1
2016071,"19,21,26,28,29,32",1
2016072,"05,16,19,22,24,25",2
2016073,"09,11,12,15,16,20",13
2016074,"06,10,11,12,20,25",12
2016075,"01,03,06,16,29,32",7
2016076,"07,08,13,22,30,32",1
2016077,"01,09,17,19,20,29",10
2016078,"02,04,08,23,26,29",2
2016079,"01,03,10,12,24,28",2
2016080,"01,16,17,24,25,32",14
2016081,"02,06,15,25,30,32",7
2016082,"06,12,14,15,17,20",9
2016083,"09,16,17,24,30,31",4
2016084,"02,04,12,18,24,26",5
2016085,"01,12,19,20,21,25",16
2016086,"09,10,11,12,15,32",5
2016087,"02,03,10,11,14,21",12
2016088,"03,14,16,18,25,33",15
2016089,"01,03,14,30,31,32",8
2016090,"02,13,17,20,21,26",7
2016091,"04,08,14,22,23,28",7
2016092,"02,13,15,23,24,29",6
2016093,"06,09,15,17,25,27",9
2016094,"06,07,10,12,18,31",10
2016095,"01,05,09,12,18,32",12
2016096,"06,13,14,21,22,24",16
2016097,"06,13,25,26,28,31",1
2016098,"02,08,25,29,31,32",6
2016099,"01,11,21,23,27,33",6
2016100,"03,10,22,23,27,29",4
2016101,"01,03,19,24,32,33",1
2016102,"05,08,10,14,17,30",13
2016103,"01,05,13,19,24,27",11
2016104,"05,09,11,18,30,31",4
2016105,"08,10,19,27,28,31",16
2016106,"04,05,13,22,25,30",4
2016107,"06,11,18,26,27,32",1
2016108,"02,03,07,08,19,26",16
2016109,"09,11,15,16,27,33",5
2016110,"05,07,28,31,32,33",8
2016111,"02,04,07,14,15,32",4
2016112,"06,12,14,15,18,25",12
2016113,"01,11,16,17,20,26",14
2016114,"05,16,20,22,27,29",9
2016115,"06,08,20,22,26,27",9
2016116,"07,18,20,23,27,31",13
2016117,"03,10,14,17,28,33",2
2016118,"09,14,22,23,31,33",14
2016119,"09,19,21,30,31,32",4
2016120,"02,05,06,21,25,28",9
2016121,"02,03,10,23,25,28",9
2016122,"15,22,23,24,28,29",8
2016123,"07,09,12,14,20,27",16
2016124,"09,15,21,24,27,32",10
2016125,"01,06,08,20,27,30",3
2016126,"02,06,12,17,18,19",10
2016127,"07,12,17,26,29,31",16
